,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Xin Zhao",1180,1871,77%,613,567,52%,2.9,4.2,31:49,5.6,371,343,-2,-104,-87
1,"
 Lee Sin",1683,1344,77%,902,781,54%,3.6,4.3,31:49,6.4,353,363,-2.8,-12,-58
2,"
 Viego",1419,1417,72%,736,683,52%,3.6,4.2,32:02,6.7,361,375,0.3,74,10
3,"
 Thresh",985,1751,69%,492,493,50%,3.4,4.5,32:01,1.1,110,233,1.8,16,-19
4,"
 Renekton",958,1486,62%,467,491,49%,2.7,4.7,31:47,8.0,376,384,5.9,260,128
5,"
 Gwen",781,1612,61%,407,374,52%,2.8,4.3,31:36,7.7,472,390,0.2,-74,-51
6,"
 Leona",1601,745,60%,821,780,51%,2.6,8.0,31:49,1.2,120,232,1.5,-25,-62
7,"
 Varus",1113,1166,58%,560,553,50%,3.8,5.4,32:28,8.6,615,407,4,103,19
8,"
 LeBlanc",720,1395,54%,365,355,51%,4.5,4.7,32:04,7.8,572,388,2.9,154,209
9,"
 Ezreal",1220,713,49%,640,580,52%,4.5,5.9,32:02,8.9,676,413,-4,-333,-39
10,"
 Lucian",643,1243,48%,297,346,46%,3.1,5.0,31:55,8.8,521,416,7.3,291,57
11,"
 Sett",965,745,43%,479,486,50%,2.3,6.0,31:34,6.2,381,345,-6.8,-174,-152
12,"
 Nautilus",1048,661,43%,488,560,47%,2.4,8.2,31:41,1.2,152,230,0.7,-78,-49
13,"
 Nocturne",499,1163,42%,257,242,52%,3.0,4.0,31:47,7.1,358,368,-0.2,59,10
14,"
 Diana",887,709,40%,449,438,51%,2.9,5.0,31:24,6.6,419,371,9.5,209,329
15,"
 Jayce",665,931,40%,346,319,52%,2.6,6.5,32:01,8.4,627,406,9.4,263,-18
16,"
 Braum",844,677,39%,415,429,49%,3.4,8.2,32:08,1.1,162,230,1.3,-71,-15
17,"
 Ziggs",542,975,38%,267,275,49%,3.8,4.1,32:45,8.7,690,407,-5.5,-55,-119
18,"
 Akali",534,981,38%,289,245,54%,3.4,4.4,31:55,7.6,504,388,-4.7,-137,32
19,"
 Aphelios",953,512,37%,516,437,54%,3.7,5.3,31:51,9.3,523,436,2.8,217,6
20,"
 Camille",619,795,36%,344,275,56%,2.8,6.1,31:43,7.4,458,393,-4.8,-67,-12
21,"
 Karma",494,847,34%,215,279,44%,3.9,4.7,32:19,4.0,271,285,-8.1,-244,-74
22,"
 Ryze",727,595,34%,336,391,46%,3.2,6.2,31:44,9.2,455,420,7,121,121
23,"
 Irelia",331,921,32%,163,168,49%,2.3,4.4,31:15,8.8,438,421,11.6,256,3
24,"
 Kalista",490,718,31%,251,239,51%,3.9,5.3,31:38,9.4,401,431,11.3,452,273
25,"
 Sylas",604,573,30%,301,303,50%,3.0,7.5,31:11,7.6,462,384,-9.5,-317,-153
26,"
 Tristana",689,451,29%,332,357,48%,3.5,6.2,30:59,9.2,476,437,-0.7,227,104
27,"
 Lulu",421,675,28%,197,224,47%,4.7,4.7,31:18,3.7,194,279,-8,-314,-98
28,"
 Rumble",680,414,28%,336,344,49%,3.6,4.9,32:07,6.1,473,355,3.2,181,133
29,"
 Rakan",720,363,27%,403,317,56%,4.0,7.6,31:42,1.2,149,241,-0.6,5,-23
30,"
 Syndra",543,516,27%,245,298,45%,2.9,5.6,32:46,8.3,525,385,4.7,32,-32
31,"
 Gnar",633,361,25%,305,328,48%,2.8,7.4,32:37,7.7,469,377,3.1,89,115
32,"
 Volibear",641,349,25%,276,365,43%,2.9,6.6,31:40,5.3,308,327,-7.4,-234,-297
33,"
 Twisted Fate",340,579,23%,202,138,59%,4.3,5.4,32:18,7.7,432,408,-6.9,381,-102
34,"
 Kaisa",634,241,22%,295,339,47%,4.0,7.7,31:24,9.3,450,432,0.5,-84,1
35,"
 Orianna",572,291,22%,278,294,49%,4.1,8.0,32:19,8.7,491,397,4.3,-45,62
36,"
 Trundle",521,325,21%,268,253,51%,3.8,5.9,32:17,4.4,245,312,-8.1,-212,-288
37,"
 Tahm Kench",436,363,20%,218,218,50%,3.0,6.2,31:49,4.0,234,283,-4,-131,19
38,"
 Alistar",500,244,19%,265,235,53%,3.0,8.4,31:37,1.1,139,232,-0.6,-54,-5
39,"
 Galio",353,262,16%,176,177,50%,3.5,6.7,32:02,3.9,285,289,-5.9,-186,-83
40,"
 Kennen",286,291,15%,160,126,56%,2.7,7.1,32:40,7.4,527,378,1,37,68
41,"
 Senna",189,356,14%,106,83,56%,5.1,4.5,31:49,1.6,460,309,-5.5,854,527
42,"
 Olaf",287,253,14%,143,144,50%,2.9,5.8,31:58,6.1,396,354,6.1,75,155
43,"
 Nidalee",200,310,13%,95,105,48%,4.1,4.5,31:49,6.4,467,366,7.9,242,281
44,"
 Wukong",266,233,13%,140,126,53%,2.9,8.4,31:51,7.0,385,372,-10.6,-310,-188
45,"
 Zoe",218,270,12%,102,116,47%,4.0,6.3,32:55,7.6,546,368,-1.1,21,-104
46,"
 Viktor",302,179,12%,168,134,56%,3.9,7.6,33:00,8.6,673,408,1.2,-164,42
47,"
 Jinx",362,111,12%,165,197,46%,3.8,7.6,31:17,9.7,539,441,2,105,-145
48,"
 Gangplank",245,221,12%,112,133,46%,2.9,7.5,33:07,8.1,608,423,3.9,275,-15
49,"
 Dr. Mundo",327,138,12%,143,184,44%,3.0,7.3,31:23,7.3,522,362,-1.7,-104,-18
50,"
 Rell",317,123,11%,174,143,55%,2.7,8.3,31:20,1.1,146,234,1.9,-71,-35
51,"
 Ashe",289,142,11%,123,166,43%,3.6,7.7,32:10,8.6,448,396,-1.1,-189,-4
52,"
 Graves",218,203,11%,107,111,49%,3.1,4.4,31:33,8.0,514,410,10.4,298,266
53,"
 Udyr",213,190,10%,89,124,42%,3.3,4.8,31:40,6.1,184,331,5.9,48,134
54,"
 Azir",255,131,10%,114,141,45%,3.0,7.5,31:48,8.8,529,398,3,-46,108
55,"
 Seraphine",176,186,9%,82,94,47%,4.2,5.6,31:12,6.4,368,337,-7.8,-374,-125
56,"
 Gragas",266,83,9%,136,130,51%,3.0,8.1,32:02,4.5,345,301,-6.4,-273,-163
57,"
 Jhin",298,49,9%,134,164,45%,4.9,7.2,31:59,8.7,452,408,-6.1,-321,-70
58,"
 KogMaw",174,157,8%,70,104,40%,3.2,7.1,32:11,9.0,615,415,-0.7,-215,-147
59,"
 Jarvan IV",192,137,8%,93,99,48%,3.6,6.4,32:05,5.2,301,334,-4.4,-105,-134
60,"
 Yuumi",100,229,8%,48,52,48%,5.8,4.3,31:18,0.3,336,243,-13.9,68,182
61,"
 Ornn",217,90,8%,106,111,49%,3.2,7.9,31:52,6.7,359,334,-12.3,-547,-133
62,"
 Xayah",205,96,8%,106,99,52%,4.3,7.3,31:46,9.3,564,441,1.3,215,111
63,"
 Jax",123,136,7%,66,57,54%,2.5,7.9,31:22,7.9,444,408,-1.9,94,-36
64,"
 Miss Fortune",187,63,6%,91,96,49%,3.5,5.5,31:58,9.1,517,429,1.8,67,-36
65,"
 Draven",89,159,6%,47,42,53%,3.8,5.6,31:25,8.9,526,464,7.8,508,115
66,"
 Yasuo",115,121,6%,58,57,50%,2.8,6.6,31:04,8.6,361,417,2.4,107,14
67,"
 Aatrox",161,62,6%,75,86,47%,2.5,7.7,31:46,7.4,457,370,0.5,-96,85
68,"
 Malphite",87,130,6%,48,39,55%,3.2,8.4,31:10,6.3,370,332,-19.7,-711,-209
