,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Wukong",1651,1593,82%,933,718,57%,3.5,4.7,32:33,5.2,327,337,-6.2,-93,-190
1,"
 Kalista",728,1896,67%,383,345,53%,3.8,3.7,31:34,9.2,451,450,9.7,498,215
2,"
 Zeri",1158,1341,63%,590,568,51%,4.7,4.1,32:33,9.6,637,449,1.3,-36,-32
3,"
 Azir",1079,1294,60%,546,533,51%,3.4,5.1,32:25,9.1,655,419,6.6,187,235
4,"
 Gwen",879,1404,58%,448,431,51%,2.5,5.2,32:13,8.2,517,396,-0.6,-148,-91
5,"
 Ahri",1076,1117,56%,567,509,53%,4.9,5.6,32:32,8.5,536,399,0.8,48,29
6,"
 Renata Glasc",975,1209,55%,533,442,55%,4.0,5.6,32:06,0.8,169,242,-4.3,6,-1
7,"
 Gnar",1389,734,54%,696,693,50%,2.8,6.3,32:17,8.3,516,399,4.9,167,90
8,"
 Taliyah",737,1371,53%,404,333,55%,4.1,4.2,32:27,8.5,611,408,-1.8,-57,14
9,"
 Lucian",583,1510,53%,310,273,53%,3.7,4.0,32:44,9.0,614,435,5,140,58
10,"
 Sylas",847,1154,51%,474,373,56%,3.5,5.2,31:49,8.2,495,398,-5.3,-114,-86
11,"
 Yuumi",618,1354,50%,316,302,51%,6.2,4.8,31:52,0.2,259,232,-11.4,-163,230
12,"
 Viego",1346,594,49%,640,706,48%,3.2,6.1,32:18,5.6,288,342,4.7,129,151
13,"
 Nautilus",1192,648,47%,593,599,50%,2.5,7.4,31:56,1.1,139,231,4.7,-53,-80
14,"
 Gangplank",667,994,42%,352,315,53%,3.3,5.6,32:42,8.6,669,450,-1.4,277,-98
15,"
 Poppy",619,1028,42%,335,284,54%,3.4,4.6,32:55,5.0,251,310,-2.3,-104,-82
16,"
 Trundle",792,727,39%,371,421,47%,3.4,6.0,32:21,4.7,258,314,-7.1,-217,-245
17,"
 Senna",511,936,37%,264,247,52%,4.4,3.9,32:13,1.7,448,308,-0.7,650,333
18,"
 Aphelios",1066,373,36%,550,516,52%,3.6,5.4,31:54,9.2,573,433,1.7,47,12
19,"
 Ornn",802,608,36%,412,390,51%,3.3,7.2,32:12,7.0,382,338,-8.8,-461,-138
20,"
 Seraphine",386,962,34%,202,184,52%,4.4,4.1,31:49,7.7,403,363,-6.6,-418,-130
21,"
 Sejuani",821,429,32%,388,433,47%,3.1,7.0,32:10,6.6,388,341,-7.9,-210,-83
22,"
 Corki",502,651,29%,251,251,50%,3.9,5.0,32:40,9.4,793,447,4.6,210,27
23,"
 Sivir",712,411,28%,392,320,55%,4.7,5.2,32:31,10.1,687,460,-1.6,-57,-26
24,"
 Lulu",651,438,28%,288,363,44%,4.3,6.8,32:50,0.6,124,229,-1.2,-90,-89
25,"
 Ezreal",673,311,25%,299,374,44%,3.5,6.2,32:38,9.1,713,425,0.6,-157,-29
26,"
 Rakan",657,325,25%,344,313,52%,3.8,8.0,32:11,1.2,146,238,5.6,-50,-103
27,"
 Draven",292,670,24%,149,143,51%,3.5,4.0,31:44,8.7,536,477,4.9,669,111
28,"
 Tahm Kench",618,314,24%,307,311,50%,2.9,7.1,32:20,3.2,190,267,-3.5,-284,-77
29,"
 Lee Sin",556,363,23%,275,281,49%,3.3,5.7,32:08,5.5,284,336,-0.8,54,25
30,"
 Lissandra",444,424,22%,223,221,50%,3.1,7.2,32:23,8.3,457,379,-0.2,-23,-34
31,"
 Fiora",271,592,22%,138,133,51%,2.6,5.6,31:44,8.4,498,408,4,126,0
32,"
 Akali",387,433,21%,202,185,52%,3.4,6.2,32:10,7.9,547,393,-0.5,48,150
33,"
 LeBlanc",265,535,20%,126,139,48%,4.2,6.6,32:29,8.0,591,389,3.2,232,122
34,"
 Swain",398,376,20%,209,189,53%,3.7,6.2,31:39,7.7,546,370,-4.1,-125,-109
35,"
 Viktor",470,287,19%,208,262,44%,3.1,7.3,32:29,8.8,702,407,1.6,-62,11
36,"
 Karma",329,427,19%,144,185,44%,3.3,5.3,32:55,2.2,280,259,-8.4,-111,-219
37,"
 Vi",401,345,19%,188,213,47%,2.5,6.1,32:06,5.2,269,326,-1.5,-131,-53
38,"
 Camille",352,381,19%,170,182,48%,2.5,7.6,32:01,7.6,468,390,-4.6,-99,-44
39,"
 Volibear",393,329,18%,181,212,46%,3.1,5.5,31:31,5.0,284,315,-3.1,-81,-131
40,"
 Aatrox",420,300,18%,223,197,53%,2.7,6.8,31:47,8.1,490,390,6.3,162,234
41,"
 Jinx",569,146,18%,250,319,44%,3.7,7.2,31:52,9.6,576,439,-0.7,-130,-173
42,"
 Xin Zhao",439,183,16%,202,237,46%,2.5,7.8,32:08,5.4,334,328,2,-85,44
43,"
 Renekton",305,297,15%,134,171,44%,2.2,6.3,32:44,8.3,444,389,14,437,228
44,"
 Yone",279,300,15%,136,143,49%,2.8,6.5,31:57,8.8,511,416,0.7,57,98
45,"
 Braum",374,198,15%,170,204,45%,3.2,8.3,31:55,1.1,157,231,2.4,-32,39
46,"
 Nami",534,29,14%,285,249,53%,4.8,6.8,32:50,0.5,199,251,-8.1,-5,-31
47,"
 Leona",423,139,14%,213,210,50%,2.6,8.6,32:11,1.2,110,232,3.1,-36,-37
48,"
 Jax",250,275,13%,132,118,53%,2.4,7.2,31:40,8.1,417,400,-2,1,-126
49,"
 Twitch",280,234,13%,134,146,48%,3.4,5.6,32:27,8.3,588,409,-9,-219,-117
50,"
 Kayle",184,291,12%,90,94,49%,2.9,7.0,32:57,9.4,513,434,-2.9,-230,-27
51,"
 Amumu",303,168,12%,150,153,50%,2.4,7.2,31:42,1.1,178,235,3.7,-45,-77
52,"
 Lillia",172,293,12%,72,100,42%,3.0,4.0,31:19,7.0,515,366,10.5,148,295
53,"
 Olaf",195,254,11%,98,97,50%,2.5,6.1,32:33,7.7,486,393,10.5,375,260
