,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
54,"
 Gragas",288,104,10%,143,145,50%,2.8,7.3,32:05,6.9,456,351,-6.8,-191,-98
55,"
 Jarvan IV",180,199,10%,81,99,45%,3.1,7.3,32:21,4.9,257,318,-4.1,-107,-146
56,"
 Alistar",239,139,10%,118,121,49%,2.8,8.3,31:57,1.0,130,231,2.1,-109,-120
57,"
 Galio",161,180,9%,75,86,47%,3.7,7.1,31:11,7.2,402,352,-11.8,-333,-218
58,"
 Kaisa",224,111,8%,110,114,49%,4.3,7.7,32:10,9.3,494,452,1.1,16,51
59,"
 Xayah",219,110,8%,95,124,43%,3.6,7.3,32:52,9.4,555,431,2.2,-38,106
60,"
 Zoe",150,165,8%,66,84,44%,3.5,6.1,32:53,7.8,581,371,-1.8,-41,-150
61,"
 Pyke",132,170,8%,71,61,54%,2.4,6.2,32:15,1.5,200,273,7.9,125,-58
62,"
 Graves",167,133,8%,79,88,47%,3.3,4.8,32:02,7.5,485,401,10.6,425,370
63,"
 Orianna",202,94,8%,94,108,47%,4.2,8.1,33:15,9.0,543,404,6,177,110
64,"
 Belveth",105,186,7%,55,50,52%,3.4,4.2,30:22,6.5,344,382,10.1,463,302
65,"
 Veigar",132,157,7%,55,77,42%,3.0,6.8,32:26,8.5,464,397,-0.6,-156,-50
66,"
 Diana",106,160,7%,49,57,46%,2.9,4.8,30:03,6.8,467,379,14.7,395,596
67,"
 Irelia",111,153,7%,59,52,53%,2.1,6.6,31:22,9.0,503,422,13.9,238,4
68,"
 Tristana",171,89,7%,79,92,46%,3.1,7.2,31:07,9.2,500,446,0.2,320,21
69,"
 Yasuo",132,122,6%,59,73,45%,2.5,5.6,31:28,8.5,358,401,2.1,-17,14
70,"
 Kennen",132,113,6%,60,72,45%,2.2,8.0,31:36,7.8,585,389,6,286,70
71,"
 Ryze",140,102,6%,66,74,47%,3.0,7.3,31:52,9.0,514,409,1.4,0,-124
72,"
 Twisted Fate",72,161,6%,40,32,56%,4.1,6.0,31:26,7.9,402,405,-9.1,218,-226
73,"
 Ashe",156,63,6%,76,80,49%,3.9,7.5,32:05,5.2,447,332,-3.8,-55,-17
74,"
 Miss Fortune",140,72,5%,68,72,49%,3.7,7.0,32:53,8.6,671,412,2.5,38,10
75,"
 Nocturne",106,104,5%,56,50,53%,3.1,6.0,31:58,5.9,307,342,3.6,48,82
76,"
 Jayce",106,98,5%,59,47,56%,2.8,7.5,31:54,8.8,713,427,7.4,375,-4
77,"
 Sion",151,53,5%,70,81,46%,2.7,7.9,32:48,7.4,378,350,-7.6,-467,-80
78,"
 Samira",65,120,5%,38,27,58%,3.8,5.5,30:57,8.7,472,451,-1.4,89,14
79,"
 Darius",63,118,5%,39,24,62%,3.0,5.5,32:42,8.1,444,418,12.2,611,98
80,"
 Udyr",86,86,4%,30,56,35%,2.3,5.4,32:10,6.1,231,333,12.5,9,285
81,"
 Rell",107,65,4%,59,48,55%,2.5,6.6,32:28,1.1,140,231,3.8,-116,-112
82,"
 Shyvana",122,49,4%,57,65,47%,3.1,7.2,32:14,8.2,581,387,-2.3,-310,123
83,"
 Vex",98,66,4%,41,57,42%,2.8,7.7,32:26,7.8,579,380,-0.8,-13,-104
84,"
 Karthus",53,102,4%,26,27,49%,2.5,2.9,32:29,7.5,845,413,15,298,495
85,"
 KogMaw",89,63,4%,37,52,42%,3.2,6.4,33:48,9.2,691,419,-2.8,-219,-121
86,"
 Caitlyn",38,108,4%,20,18,53%,4.5,4.3,32:53,9.5,540,431,4.4,83,-41
87,"
 Sett",95,46,4%,46,49,48%,1.9,8.3,31:33,5.1,368,323,-2.4,-123,-154
88,"
 Kindred",63,76,4%,30,33,48%,2.7,5.8,33:06,6.6,421,372,6,134,119
89,"
 Zilean",88,46,3%,38,50,43%,4.4,7.2,33:03,3.5,238,273,-3.3,-234,170
90,"
 Vladimir",67,50,3%,33,34,49%,3.6,8.1,32:28,8.3,594,397,8.3,151,323
91,"
 Hecarim",66,44,3%,34,32,52%,3.0,5.8,31:47,5.9,326,345,9.5,124,316
92,"
 Syndra",56,52,3%,17,39,30%,2.2,7.4,32:01,8.2,556,370,0.7,-293,-238
93,"
 Tryndamere",53,53,3%,23,30,43%,2.8,7.6,31:57,8.8,437,426,6.8,514,245
94,"
 Maokai",51,53,3%,24,27,47%,2.8,4.3,31:10,5.0,412,306,-12.1,-439,-322
95,"
 Nidalee",34,70,3%,14,20,41%,3.7,3.1,30:01,6.7,517,396,19.5,636,642
96,"
 Thresh",74,30,3%,34,40,46%,3.1,8.5,32:44,1.1,125,231,4.9,75,92
97,"
 Pantheon",43,56,3%,21,22,49%,2.8,4.5,30:32,5.5,384,355,4.8,236,146
98,"
 Varus",73,24,2%,36,37,49%,3.4,6.7,31:57,8.8,551,422,4.4,116,-12
99,"
 Rumble",48,48,2%,24,24,50%,3.9,6.2,33:01,6.7,639,384,-1.2,296,152
100,"
 Bard",69,24,2%,32,37,46%,3.7,7.8,32:53,0.9,223,243,-5.2,-66,-78
101,"
 Cassiopeia",53,39,2%,30,23,57%,3.2,6.8,31:59,8.7,574,415,8.2,223,-12
102,"
 Soraka",65,27,2%,25,40,38%,3.7,8.1,31:57,2.0,168,246,-11.1,-273,-72
103,"
 Mordekaiser",50,33,2%,24,26,48%,2.3,8.1,30:39,7.9,519,387,12.6,490,421
104,"
 Nilah",42,36,2%,17,25,40%,3.0,5.4,33:24,9.2,398,430,-4.1,101,764
105,"
 Skarner",48,29,2%,25,23,52%,3.4,7.8,34:07,4.8,171,304,-1.8,-209,-110
106,"
 Riven",28,44,2%,12,16,43%,2.4,6.5,31:28,8.3,370,393,-2.5,-105,-136
107,"
 Jhin",56,12,2%,27,29,48%,5.7,8.4,32:24,8.6,442,406,-2.8,20,115
108,"
 RekSai",26,41,2%,17,9,65%,3.8,4.1,31:13,5.9,335,373,5.3,587,176
109,"
 Blitzcrank",42,24,2%,26,16,62%,3.0,8.1,30:48,1.0,176,241,3,15,-204
110,"
 Rengar",21,39,2%,10,11,48%,2.6,3.4,31:21,6.1,427,369,2.3,48,122
111,"
 Zac",35,25,2%,18,17,51%,3.1,4.7,32:43,5.9,352,329,-6.6,-357,-130
112,"
 Ziggs",38,20,1%,17,21,45%,3.8,6.3,31:17,8.7,750,421,-3.4,299,-79
113,"
 Taric",33,22,1%,13,20,39%,3.0,8.1,31:25,1.3,131,240,5.5,-80,280
114,"
 Akshan",21,32,1%,9,12,43%,2.2,7.0,30:38,8.0,472,401,-1.1,83,-207
115,"
 Kayn",24,25,1%,9,15,38%,2.0,3.6,31:39,6.6,411,367,7.4,-6,210
116,"
 Morgana",35,13,1%,14,21,40%,2.9,7.8,33:12,3.5,339,284,3.8,102,206
117,"
 VelKoz",21,27,1%,9,12,43%,4.8,5.1,33:52,8.4,771,406,3.4,155,72
118,"
 KhaZix",29,18,1%,15,14,52%,3.4,5.4,30:54,5.9,407,359,-0.7,-88,-191
119,"
 Xerath",23,24,1%,8,15,35%,3.9,8.1,32:53,8.5,810,413,-5.9,73,165
120,"
 Kassadin",17,28,1%,6,11,35%,2.2,5.3,29:54,8.7,488,399,-7.8,-799,-235
121,"
 Malphite",27,17,1%,11,16,41%,2.7,9.4,31:11,7.0,412,335,-14.3,-646,-209
122,"
 Anivia",14,23,1%,5,9,36%,2.6,7.2,30:48,8.3,494,375,-2.5,152,-32
123,"
 Urgot",17,20,1%,9,8,53%,2.8,4.9,32:35,8.4,417,405,-3.2,-182,-87
124,"
 Vayne",29,7,1%,13,16,45%,3.1,8.4,29:31,8.4,518,424,-3.4,-298,-199
125,"
 Heimerdinger",19,15,1%,5,14,26%,1.7,4.3,32:46,4.8,513,315,-1.3,-16,154
126,"
 Shen",15,17,1%,6,9,40%,3.7,3.8,31:56,5.7,308,322,-3.9,-292,18
127,"
 Sona",28,4,1%,13,15,46%,3.4,8.5,33:54,0.5,178,230,-3.1,-128,-118
128,"
 Janna",23,8,1%,13,10,57%,4.7,6.8,32:21,0.6,114,235,0.1,-108,-241
129,"
 Nasus",19,11,1%,8,11,42%,2.2,6.5,30:21,7.1,465,377,-20.2,-930,-370
130,"
 Ivern",10,19,1%,5,5,50%,5.1,2.2,29:44,5.0,182,291,-28.9,-910,-589
131,"
 Dr. Mundo",15,13,1%,4,11,27%,2.3,6.0,30:57,7.8,538,364,1.7,-256,49
132,"
 Lux",17,10,1%,10,7,59%,3.9,8.2,32:39,2.3,399,276,-4.2,26,36
133,"
 Ekko",14,12,1%,2,12,14%,1.9,6.4,31:55,8.7,503,421,-4,-47,104
134,"
 Fiddlesticks",11,14,1%,3,8,27%,1.7,4.9,32:36,5.4,360,315,2,-301,128
135,"
 Chogath",21,3,1%,11,10,52%,2.7,8.0,32:21,7.0,349,352,-4.4,-221,-99
136,"
 Zed",13,9,1%,5,8,38%,2.1,5.3,31:59,6.9,392,379,10.3,243,649
137,"
 Qiyana",19,3,1%,9,10,47%,3.2,9.0,31:17,6.4,446,384,1.3,291,157
138,"
 Annie",5,16,1%,4,1,80%,4.8,4.4,29:36,7.5,658,404,-1.2,114,-113
139,"
 Shaco",5,16,1%,3,2,60%,3.0,4.6,33:54,5.8,419,348,-2.2,-81,-179
140,"
 Singed",11,7,0%,5,6,45%,2.1,5.1,29:56,4.6,260,294,-15.8,-716,-447
141,"
 Kled",9,8,0%,4,5,44%,3.0,8.4,34:25,7.4,417,374,-10,-354,-159
142,"
 Aurelion Sol",2,12,0%,2,0,100%,7.0,2.2,30:18,7.6,513,401,-19.5,-460,-401
143,"
 Elise",6,6,0%,4,2,67%,5.9,7.5,34:59,5.3,400,334,-10.6,390,-384
144,"
 Neeko",7,3,0%,1,6,14%,1.6,8.7,31:05,4.9,439,314,4.1,30,141
145,"
 Talon",6,3,0%,2,4,33%,2.0,8.0,30:31,6.2,428,389,15.6,1339,905
146,"
 Garen",4,4,0%,1,3,25%,1.6,9.3,29:52,8.3,353,408,-2.8,-10,-109
147,"
 Katarina",3,5,0%,1,2,33%,3.4,7.6,34:45,6.9,430,373,-16.3,-546,-75
148,"
 Brand",3,4,0%,1,2,33%,2.3,6.5,30:46,9.2,723,385,17.5,-154,391
149,"
 Rammus",2,3,0%,1,1,50%,6.7,5.3,32:19,5.1,278,329,-16,-238,-906
150,"
 Teemo",4,1,0%,0,4,0%,1.2,6.0,28:55,7.7,593,383,-0.5,36,-104
151,"
 Yorick",3,1,0%,0,3,0%,0.2,9.0,27:05,7.4,461,316,-16.7,-558,-162
152,"
 Evelynn",2,1,0%,0,2,0%,0.6,5.0,29:36,4.8,360,293,-8.5,-420,306
153,"
 Nunu",2,1,0%,0,2,0%,1.0,5.0,25:21,4.4,408,324,-7.5,-846,-612
154,"
 Quinn",2,0,0%,0,2,0%,1.0,-,28:52,7.7,488,360,-22,-1255,-964
155,"
 Master Yi",1,0,0%,1,0,100%,2.2,-,32:30,4.4,867,434,-18,-1251,-46
156,"
 Warwick",0,1,0%,,,,,8.0,,,,,,,
157,"
 Zyra",1,0,0%,1,0,100%,6.5,-,26:25,0.8,401,322,6,427,869
158,"
 Illaoi",1,0,0%,0,1,0%,0.4,-,25:43,7.5,398,305,-18,-1635,-316
159,"
 Fizz",0,0,0%,,,,,-,,,,,,,
160,"
 Malzahar",0,0,0%,,,,,-,,,,,,,
