,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Jinx",1983,1016,81%,1044,939,53%,4.2,4.6,31:47,9.6,548,449,1.4,68,-78
1,"
 Zeri",599,1951,69%,349,250,58%,5.0,3.7,31:34,9.4,568,452,-0.4,7,35
2,"
 Lee Sin",1313,1158,66%,675,638,51%,3.4,4.3,32:00,5.4,277,342,-2.6,5,-40
3,"
 Gwen",918,1466,64%,478,440,52%,2.8,5.0,31:48,8.1,471,399,0.8,-35,12
4,"
 Xin Zhao",1392,950,63%,693,699,50%,2.7,5.0,32:16,5.4,303,330,-1.8,-93,-71
5,"
 Nautilus",1531,690,60%,750,781,49%,2.3,7.2,31:40,1.1,139,232,2.1,-52,-41
6,"
 Aphelios",1676,526,59%,818,858,49%,3.4,4.8,32:07,9.1,508,433,0.2,93,23
7,"
 Ryze",879,1101,53%,402,477,46%,3.6,4.7,31:29,9.0,407,406,3.1,67,10
8,"
 Leona",1309,535,50%,665,644,51%,2.4,7.6,32:14,1.2,108,233,2.4,-37,-66
9,"
 LeBlanc",515,1261,48%,244,271,47%,3.9,5.5,32:04,7.8,520,383,3.6,142,180
10,"
 Caitlyn",304,1377,45%,157,147,52%,3.9,3.7,33:00,9.1,510,439,7.7,448,64
11,"
 Jayce",659,1017,45%,336,323,51%,2.5,6.7,32:08,8.5,657,416,10.2,313,-33
12,"
 Hecarim",735,894,44%,379,356,52%,3.5,4.5,31:28,5.8,287,347,4.6,91,144
13,"
 Viego",1100,487,43%,534,566,49%,3.3,5.5,32:05,5.7,281,349,1.7,73,45
14,"
 Thresh",685,898,43%,360,325,53%,3.1,5.3,32:30,1.1,106,234,2.7,-16,-46
15,"
 Ahri",842,738,42%,449,393,53%,4.5,5.1,31:39,8.3,485,399,1.1,99,106
16,"
 Twisted Fate",325,1230,42%,182,143,56%,4.5,3.9,31:55,7.7,399,403,-8.7,262,-160
17,"
 Akali",497,1028,41%,267,230,54%,3.1,5.1,32:39,7.6,484,385,-4.6,-126,87
18,"
 Viktor",912,557,40%,458,454,50%,3.5,6.6,32:37,8.8,643,406,2.7,-67,72
19,"
 Tryndamere",400,946,36%,205,195,51%,2.9,5.7,31:46,8.9,388,431,4.3,304,172
20,"
 Karma",468,843,35%,204,264,44%,3.3,4.4,32:23,1.9,253,255,-12.3,-113,-162
21,"
 Corki",535,771,35%,283,252,53%,4.1,4.8,33:18,9.2,715,441,1.2,118,-39
22,"
 Graves",813,472,35%,387,426,48%,2.7,5.7,32:00,8.8,497,414,6.1,180,115
23,"
 Camille",498,756,34%,268,230,54%,2.5,7.4,31:18,7.5,428,387,-4.6,-132,-28
24,"
 Renekton",474,756,33%,210,264,44%,2.3,5.1,31:51,8.1,359,382,8.5,318,157
25,"
 Volibear",654,538,32%,347,307,53%,3.2,4.8,31:48,5.0,273,324,-5.8,-139,-200
26,"
 Gnar",772,406,32%,390,382,51%,2.5,7.4,31:48,8.0,465,391,3.7,152,108
27,"
 Jarvan IV",585,557,31%,293,292,50%,3.4,6.0,32:09,4.9,245,324,-4.8,-148,-195
28,"
 Rakan",666,459,30%,346,320,52%,3.8,7.6,31:58,1.2,140,241,2.1,29,-46
29,"
 Diana",306,799,30%,146,160,48%,2.8,3.9,31:10,6.7,398,374,13.8,342,484
30,"
 Tahm Kench",603,468,29%,311,292,52%,2.9,6.3,31:51,1.4,161,238,2.9,-39,61
31,"
 Vex",451,616,29%,228,223,51%,3.3,6.9,31:53,7.7,477,375,-5.8,-171,-206
32,"
 Syndra",427,582,27%,188,239,44%,2.8,7.0,32:18,8.3,507,384,4.7,33,-45
33,"
 Jhin",676,171,23%,316,360,47%,5.2,6.4,32:30,8.7,462,412,-4,-304,-24
34,"
 Orianna",502,269,21%,248,254,49%,4.4,7.7,32:04,8.8,463,400,5.2,-9,63
35,"
 Xayah",496,275,21%,252,244,51%,4.0,5.6,32:03,9.2,598,430,0.8,20,154
36,"
 Gragas",538,201,20%,240,298,45%,2.5,7.5,32:33,6.6,378,328,-13.8,-546,-173
37,"
 Lulu",312,368,18%,153,159,49%,4.3,7.1,31:46,0.9,108,237,-6,-57,-28
38,"
 Ornn",410,247,18%,206,204,50%,3.2,7.3,31:57,6.8,353,335,-11.7,-488,-146
39,"
 Yuumi",216,386,16%,97,119,45%,5.2,6.1,31:19,0.3,266,232,-13.1,-237,67
40,"
 Gangplank",228,322,15%,130,98,57%,3.3,7.3,32:29,8.5,617,443,4.4,362,-16
41,"
 Trundle",327,221,15%,163,164,50%,3.3,5.6,32:38,4.8,242,319,-10.2,-322,-396
42,"
 Ezreal",398,137,14%,168,230,42%,3.2,8.1,32:14,9.0,641,416,-0.9,-183,-26
43,"
 Veigar",206,309,14%,100,106,49%,4.0,6.2,32:00,8.4,451,403,-2.9,-65,-66
44,"
 Irelia",149,363,14%,84,65,56%,2.1,6.3,31:43,8.9,424,422,11.8,238,68
45,"
 Sylas",265,246,14%,140,125,53%,3.1,7.6,31:22,7.7,450,388,-5.6,-212,-79
46,"
 Renata Glasc",223,257,13%,118,105,53%,3.9,6.2,30:42,1.0,155,244,-3.5,25,115
47,"
 Braum",302,174,13%,134,168,44%,2.9,8.3,32:08,1.1,153,228,0.6,-31,39
48,"
 Kaisa",283,163,12%,136,147,48%,3.9,6.3,31:13,9.0,594,440,0.9,-43,48
49,"
 Zoe",175,265,12%,86,89,49%,4.7,6.0,32:05,7.8,527,377,0.6,71,-22
50,"
 Lucian",173,235,11%,90,83,52%,3.3,4.1,31:56,8.9,533,434,8.2,264,110
51,"
 Galio",193,209,11%,103,90,53%,3.7,5.8,30:49,6.1,339,336,-12.9,-381,-200
52,"
 Kennen",228,162,10%,108,120,47%,2.2,8.2,32:07,7.7,506,374,2.6,0,42
53,"
 Sett",245,138,10%,119,126,49%,2.1,7.5,31:59,4.1,310,307,-1,69,-1
54,"
 Alistar",273,108,10%,129,144,47%,2.7,8.5,32:13,1.0,128,231,-1,-38,-17
55,"
 Poppy",160,183,9%,83,77,52%,2.8,6.4,33:39,5.2,245,310,-3.5,-165,-142
56,"
 Sion",236,100,9%,117,119,50%,2.9,7.6,31:48,7.2,368,350,-11.3,-430,-114
57,"
 Aatrox",223,110,9%,116,107,52%,2.7,8.6,31:16,8.0,461,394,9.9,419,328
58,"
 Malphite",131,193,9%,72,59,55%,3.1,8.6,31:21,6.6,393,338,-18.7,-832,-163
59,"
 Jax",131,182,8%,71,60,54%,2.1,8.3,31:27,8.2,403,407,-2.3,-63,-74
60,"
 Akshan",87,204,8%,43,44,49%,2.8,5.2,31:41,8.2,455,403,5.9,373,84
61,"
 Zilean",133,155,8%,62,71,47%,4.6,6.4,31:55,4.3,226,287,-4.2,-224,209
62,"
 Senna",149,133,8%,78,71,52%,4.4,4.5,31:56,4.5,456,355,-5.8,259,125
63,"
 Yasuo",111,151,7%,55,56,50%,2.7,6.4,30:58,8.5,350,414,0.1,17,-87
64,"
 Lux",171,83,7%,93,78,54%,3.3,5.5,32:48,1.5,338,264,-7.9,315,71
65,"
 Varus",185,67,7%,80,105,43%,3.3,7.0,32:19,8.6,542,407,2.3,-1,53
66,"
 Seraphine",111,126,6%,63,48,57%,4.8,4.3,31:55,6.3,348,346,-8,-304,-182
67,"
 Azir",125,82,6%,57,68,46%,3.2,7.2,33:12,8.9,565,403,3.1,75,112
68,"
 Fiora",86,117,5%,45,41,52%,2.5,5.2,30:59,8.2,475,405,3,12,-17
69,"
 Nidalee",64,125,5%,29,35,45%,3.9,3.3,32:45,6.4,458,370,8.5,431,367
70,"
 Tristana",121,56,5%,45,76,37%,2.9,7.0,31:10,9.2,440,438,0.8,241,158
71,"
 Wukong",89,80,5%,45,44,51%,2.7,5.7,31:36,6.7,344,362,-6.7,-264,-130
72,"
 Rell",111,54,4%,55,56,50%,2.6,6.6,31:48,1.1,131,234,1.6,10,-40
73,"
 Ziggs",87,71,4%,35,52,40%,3.4,5.6,33:01,8.7,666,406,-6.4,-199,-15
74,"
 Nocturne",93,64,4%,46,47,49%,3.1,5.5,31:25,5.8,282,342,5.7,127,196
75,"
 Karthus",46,101,4%,18,28,39%,2.5,2.9,31:21,7.7,742,406,9.4,-27,353
76,"
 RekSai",76,66,4%,30,46,39%,2.1,5.1,31:19,5.5,312,344,0.3,205,28
77,"
 Olaf",74,66,4%,39,35,53%,2.6,7.0,32:41,5.9,357,346,11.2,184,200
78,"
 Samira",60,80,4%,27,33,45%,2.8,4.8,30:20,8.5,447,427,-2,-54,-2
79,"
 Miss Fortune",87,45,4%,41,46,47%,3.5,6.3,31:35,8.9,594,423,0.6,-88,23
80,"
 Pyke",68,61,3%,38,30,56%,2.7,6.1,32:26,1.6,193,304,4.7,434,-10
81,"
 Yone",65,63,3%,36,29,55%,2.9,5.5,30:46,8.9,429,430,1,136,230
82,"
 Kalista",41,76,3%,24,17,59%,4.2,4.8,32:33,9.2,398,446,9.5,423,190
83,"
 Urgot",55,58,3%,20,35,36%,2.2,6.0,31:56,8.2,392,397,0.2,-51,12
84,"
 Nami",85,23,3%,46,39,54%,4.9,7.3,32:13,0.5,191,250,-11.3,-13,138
85,"
 Xerath",47,51,3%,17,30,36%,4.1,6.5,33:32,7.8,765,389,-4.7,31,0
86,"
 Rumble",48,47,3%,25,23,52%,3.2,5.8,31:14,6.5,567,368,6.3,421,337
87,"
 Udyr",66,24,2%,25,41,38%,2.3,5.4,30:46,6.5,215,346,16.2,198,403
