,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Aatrox",0,0,0%,,,,,-,,,,,,,
1,"
 Ahri",0,0,0%,,,,,-,,,,,,,
2,"
 Akali",0,0,0%,,,,,-,,,,,,,
3,"
 Alistar",0,0,0%,,,,,-,,,,,,,
4,"
 Amumu",0,0,0%,,,,,-,,,,,,,
5,"
 Anivia",0,0,0%,,,,,-,,,,,,,
6,"
 Annie",0,0,0%,,,,,-,,,,,,,
7,"
 Ashe",0,0,0%,,,,,-,,,,,,,
8,"
 Blitzcrank",0,0,0%,,,,,-,,,,,,,
9,"
 Brand",0,0,0%,,,,,-,,,,,,,
10,"
 Caitlyn",0,0,0%,,,,,-,,,,,,,
11,"
 Cassiopeia",0,0,0%,,,,,-,,,,,,,
12,"
 Chogath",0,0,0%,,,,,-,,,,,,,
13,"
 Corki",0,0,0%,,,,,-,,,,,,,
14,"
 Darius",0,0,0%,,,,,-,,,,,,,
15,"
 Diana",0,0,0%,,,,,-,,,,,,,
16,"
 Dr. Mundo",0,0,0%,,,,,-,,,,,,,
17,"
 Draven",0,0,0%,,,,,-,,,,,,,
18,"
 Elise",0,0,0%,,,,,-,,,,,,,
19,"
 Evelynn",0,0,0%,,,,,-,,,,,,,
20,"
 Ezreal",0,0,0%,,,,,-,,,,,,,
21,"
 Fiddlesticks",0,0,0%,,,,,-,,,,,,,
22,"
 Fiora",0,0,0%,,,,,-,,,,,,,
23,"
 Fizz",0,0,0%,,,,,-,,,,,,,
24,"
 Galio",0,0,0%,,,,,-,,,,,,,
25,"
 Gangplank",0,0,0%,,,,,-,,,,,,,
26,"
 Garen",0,0,0%,,,,,-,,,,,,,
27,"
 Gragas",0,0,0%,,,,,-,,,,,,,
28,"
 Graves",0,0,0%,,,,,-,,,,,,,
29,"
 Hecarim",0,0,0%,,,,,-,,,,,,,
30,"
 Heimerdinger",0,0,0%,,,,,-,,,,,,,
31,"
 Irelia",0,0,0%,,,,,-,,,,,,,
32,"
 Janna",0,0,0%,,,,,-,,,,,,,
33,"
 Jarvan IV",0,0,0%,,,,,-,,,,,,,
34,"
 Jax",0,0,0%,,,,,-,,,,,,,
