,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
73,"
 Kayle",78,59,5%,45,33,58%,3.4,8.6,31:40,9.0,535,427,11.3,520,312
74,"
 Sejuani",95,38,4%,46,49,48%,3.4,7.6,32:03,5.1,242,311,-6.5,-310,-320
75,"
 Fiddlesticks",42,90,4%,21,21,50%,2.6,5.6,31:19,5.9,390,328,-0.7,-90,110
76,"
 Vladimir",77,49,4%,39,38,51%,2.6,7.7,31:46,8.5,534,394,3.5,-89,75
77,"
 Skarner",79,44,4%,41,38,52%,3.6,4.7,31:29,5.1,172,313,-4,-228,-244
78,"
 Shyvana",58,63,4%,29,29,50%,2.9,4.9,30:58,7.2,583,387,12.4,318,575
79,"
 Gnar",89,32,4%,42,47,47%,2.4,7.8,33:08,7.9,497,381,8.9,253,179
80,"
 Alistar",88,32,4%,45,43,51%,3.2,8.9,32:05,1.0,139,232,-0.6,-30,-67
81,"
 Heimerdinger",21,89,4%,8,13,38%,2.5,2.6,30:55,7.9,578,374,-11.1,-468,-111
82,"
 Ryze",77,33,4%,34,43,44%,2.7,8.0,30:14,9.6,522,423,4.6,-118,-7
83,"
 Urgot",71,39,4%,34,37,48%,2.6,7.2,31:42,7.7,376,398,-3.3,52,-123
84,"
 Rumble",59,47,4%,23,36,39%,2.7,6.1,32:40,6.9,574,360,-9.3,-302,-304
85,"
 Evelynn",32,60,3%,15,17,47%,2.6,4.0,31:03,5.7,437,352,1.8,212,457
86,"
 KogMaw",63,26,3%,20,43,32%,3.0,6.3,31:51,8.8,681,401,-1.5,-125,-91
87,"
 Soraka",49,40,3%,28,21,57%,4.8,5.4,32:06,3.4,181,267,-6.6,-297,-27
88,"
 Viktor",55,30,3%,26,29,47%,3.0,7.9,33:27,8.8,594,398,1.2,-179,28
89,"
 VelKoz",39,45,3%,23,16,59%,3.7,7.5,31:11,8.1,653,390,1.3,-12,109
90,"
 Yasuo",35,48,3%,16,19,46%,2.4,6.1,32:52,8.7,335,408,-0.3,-38,98
91,"
 Tristana",39,42,3%,16,23,41%,2.6,5.0,32:53,8.9,443,430,-0.1,447,-30
92,"
 Fiora",35,43,3%,14,21,40%,1.8,6.1,31:08,9.1,433,425,8.6,456,100
93,"
 Quinn",35,40,3%,16,19,46%,2.3,7.9,32:37,8.6,638,412,12.6,606,191
94,"
 Sivir",60,12,2%,26,34,43%,3.3,7.1,32:06,9.9,481,429,-3.8,-99,-126
95,"
 Taliyah",28,44,2%,11,17,39%,2.7,4.7,32:49,6.7,514,354,-6.9,-387,-80
96,"
 Twitch",29,42,2%,13,16,45%,3.2,6.2,32:28,8.2,505,400,-8.2,-400,-347
97,"
 Qiyana",35,36,2%,13,22,37%,2.6,5.4,31:33,7.4,483,381,-10.4,-175,-249
98,"
 Poppy",49,19,2%,20,29,41%,2.0,7.8,31:31,6.0,342,327,-8.2,-245,-154
99,"
 Zilean",34,34,2%,16,18,47%,6.9,7.1,35:20,6.0,341,323,-6,-133,212
100,"
 Neeko",44,21,2%,23,21,52%,3.2,6.2,31:14,7.8,466,380,6.8,192,31
101,"
 Xayah",55,8,2%,20,35,36%,2.9,6.0,32:12,9.4,480,425,2,26,62
102,"
 Chogath",44,16,2%,18,26,41%,2.0,6.8,33:08,7.3,379,350,-3.8,-432,-188
103,"
 Yone",17,37,2%,10,7,59%,3.9,3.3,33:19,8.8,648,450,-4.9,-34,-53
104,"
 Lissandra",29,24,2%,15,14,52%,3.1,8.1,32:43,8.1,430,375,1.1,89,-14
105,"
 Draven",27,22,2%,12,15,44%,3.6,6.4,33:23,8.5,486,451,5.8,419,17
106,"
 Kayn",27,22,2%,9,18,33%,1.7,4.3,31:48,6.3,345,343,-0.1,-130,34
107,"
 Samira",14,33,2%,7,7,50%,3.7,3.9,31:12,8.3,429,421,8.6,697,497
108,"
 Darius",10,32,1%,5,5,50%,2.2,7.4,29:59,7.3,433,386,3,252,-232
109,"
 Vayne",31,9,1%,14,17,45%,2.9,8.3,31:32,8.1,479,396,-0.8,-281,-146
110,"
 Zac",25,13,1%,18,7,72%,5.6,4.4,31:09,5.6,294,335,-4.9,80,-26
111,"
 Illaoi",11,26,1%,3,8,27%,1.3,5.4,31:59,8.0,492,359,-1.5,-283,3
112,"
 Riven",5,29,1%,2,3,40%,2.4,4.6,34:21,7.8,443,387,6,-54,-85
113,"
 Kled",15,19,1%,7,8,47%,3.5,5.6,30:28,7.5,322,375,-2.6,124,-39
114,"
 Jinx",28,5,1%,8,20,29%,3.0,6.2,31:34,10.1,502,436,1.8,26,-170
115,"
 Pyke",28,5,1%,12,16,43%,2.2,5.6,32:58,1.5,166,288,-0,274,-221
116,"
 Zed",21,10,1%,5,16,24%,2.0,5.9,31:58,7.7,462,377,-1.2,26,26
117,"
 Diana",16,11,1%,6,10,38%,2.7,7.8,31:31,8.0,480,394,-7.5,-285,-110
118,"
 Nunu",16,10,1%,9,7,56%,3.3,4.5,31:09,5.8,290,341,-0.9,-123,58
119,"
 Swain",8,14,1%,4,4,50%,2.6,5.4,32:36,7.0,517,359,-2.1,148,127
120,"
 Ahri",9,12,1%,6,3,67%,4.9,5.3,32:59,8.3,580,420,-5.1,383,183
121,"
 Janna",16,4,1%,9,7,56%,5.2,8.8,30:10,1.2,182,245,-10.8,-195,-318
122,"
 Talon",2,18,1%,1,1,50%,2.8,2.1,27:25,7.3,325,370,-5,-776,-780
123,"
 Yorick",7,11,1%,2,5,29%,1.6,6.2,30:29,8.4,376,401,2.4,187,196
124,"
 Veigar",12,4,1%,1,11,8%,1.3,5.8,28:37,7.5,324,343,-3.5,-732,-50
125,"
 Zyra",11,4,1%,2,9,18%,1.6,6.3,33:14,0.8,362,231,-14.3,75,36
126,"
 Dr. Mundo",7,7,0%,5,2,71%,3.5,7.7,36:31,8.2,464,396,15.3,324,547
127,"
 Malzahar",7,7,0%,4,3,57%,2.6,8.0,31:56,8.5,474,403,3,-73,337
128,"
 Xerath",7,7,0%,2,5,29%,4.5,4.7,32:35,8.9,705,397,7.3,216,241
129,"
 Rengar",4,9,0%,4,0,100%,3.7,2.3,30:17,6.4,522,415,0.5,-56,-345
130,"
 Katarina",5,7,0%,1,4,20%,2.1,4.1,34:08,6.6,277,351,-24.5,174,165
131,"
 Aurelion Sol",8,4,0%,1,7,13%,1.7,9.0,32:55,7.4,409,339,-5.4,-662,-369
132,"
 Tryndamere",4,7,0%,3,1,75%,3.4,8.0,31:25,9.8,376,480,15.2,863,488
133,"
 Ivern",7,3,0%,2,5,29%,3.6,9.0,32:54,4.1,138,279,-15,-258,-370
134,"
 Vi",8,1,0%,4,4,50%,2.4,8.0,30:40,5.0,249,311,-11.8,-614,-726
135,"
 Fizz",1,6,0%,1,0,100%,9.0,9.0,35:32,7.4,573,397,8,1296,669
136,"
 Xin Zhao",6,1,0%,3,3,50%,2.7,10.0,34:13,5.1,277,322,0,200,192
137,"
 Amumu",2,2,0%,0,2,0%,1.3,4.5,25:26,5.6,346,331,-31,-1618,-1474
138,"
 Shaco",1,3,0%,0,1,0%,0.7,1.3,26:41,4.9,237,296,-10,-1316,-561
139,"
 Garen",2,1,0%,0,2,0%,1.9,8.0,30:55,6.6,409,369,-24.5,-4,-182
140,"
 Master Yi",3,0,0%,0,3,0%,1.1,-,28:44,8.1,247,352,18,-90,-106
141,"
 Nasus",3,0,0%,2,1,67%,2.6,-,29:19,8.2,482,408,-1.3,-150,127
142,"
 Anivia",1,1,0%,0,1,0%,0.3,8.0,28:14,9.4,320,347,17,-1389,466
143,"
 Annie",0,2,0%,,,,,5.0,,,,,,,
144,"
 Nami",2,0,0%,1,1,50%,8.3,-,32:46,0.9,120,212,-4,-264,569
145,"
 Singed",2,0,0%,1,1,50%,2.1,-,34:16,7.7,393,373,4.5,420,158
146,"
 Brand",1,0,0%,0,1,0%,1.5,-,28:38,0.7,423,244,-12,-82,37
147,"
 Rammus",1,0,0%,1,0,100%,4.5,-,33:07,4.6,188,309,-8,619,703
148,"
 Teemo",0,1,0%,,,,,1.0,,,,,,,
149,"
 Warwick",1,0,0%,1,0,100%,4.7,-,26:30,5.6,374,422,-15,1477,-151
150,"
 Udyr",0,0,0%,,,,,-,,,,,,,
151,"
 Seraphine",0,0,0%,,,,,-,,,,,,,
152,"
 Rell",0,0,0%,,,,,-,,,,,,,
153,"
 Viego",0,0,0%,,,,,-,,,,,,,
154,"
 Gwen",0,0,0%,,,,,-,,,,,,,
155,"
 Akshan",0,0,0%,,,,,-,,,,,,,
156,"
 Vex",0,0,0%,,,,,-,,,,,,,
157,"
 Zeri",0,0,0%,,,,,-,,,,,,,
158,"
 Renata Glasc",0,0,0%,,,,,-,,,,,,,
159,"
 Belveth",0,0,0%,,,,,-,,,,,,,
160,"
 Nilah",0,0,0%,,,,,-,,,,,,,
