,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
123,"
 Aurelion Sol",7,6,0%,4,3,57%,6.0,7.0,30:13,7.6,424,367,-0.5,376,521
124,"
 Swain",6,5,0%,2,4,33%,2.2,6.0,34:31,3.7,437,295,-5.7,206,385
125,"
 Shaco",4,6,0%,3,1,75%,9.3,4.0,28:59,4.2,265,315,-19.5,-100,-574
126,"
 Singed",6,4,0%,2,4,33%,3.1,8.3,31:51,7.5,492,375,-9.2,-275,-138
127,"
 Tryndamere",7,3,0%,2,5,29%,1.9,8.7,29:07,9.5,415,451,22,964,682
128,"
 Annie",2,6,0%,0,2,0%,1.3,6.0,28:53,4.2,381,275,-16.5,-1420,-1130
129,"
 Dr. Mundo",7,1,0%,4,3,57%,4.5,6.0,34:55,7.0,478,373,11,9,315
130,"
 Fiddlesticks",4,4,0%,1,3,25%,1.7,5.8,33:16,2.5,237,240,-12.2,-582,-578
131,"
 Sona",5,3,0%,1,4,20%,2.6,2.7,31:12,4.8,365,309,-33.8,-1039,-561
132,"
 Brand",6,1,0%,1,5,17%,1.9,5.0,30:23,2.7,541,280,-3.7,-402,-769
133,"
 Lux",7,0,0%,1,6,14%,1.2,-,30:29,3.7,347,264,-10,-580,-412
134,"
 Nunu",3,4,0%,0,3,0%,1.3,5.0,33:15,4.3,226,273,-17.5,-1124,-902
135,"
 Katarina",2,4,0%,1,1,50%,3.0,7.5,28:49,7.0,487,390,-9.5,-932,-999
136,"
 Nami",6,0,0%,2,4,33%,3.3,-,31:01,0.6,112,211,-7.3,-438,-358
137,"
 Udyr",1,5,0%,0,1,0%,2.2,3.2,32:49,6.5,444,370,20,-321,770
138,"
 Master Yi",3,2,0%,0,3,0%,0.7,3.0,26:47,7.7,322,337,36.3,475,759
139,"
 Nasus",2,2,0%,0,2,0%,1.5,8.5,38:59,6.5,447,345,-19.5,-282,332
140,"
 Evelynn",1,2,0%,0,1,0%,3.4,7.0,41:50,4.9,1084,435,25,-526,1875
141,"
 Fizz",3,0,0%,0,3,0%,1.1,-,27:26,7.1,266,313,-0.3,-805,162
142,"
 Garen",2,0,0%,1,1,50%,2.2,-,25:51,7.7,293,375,-4.5,-604,47
143,"
 Twitch",2,0,0%,0,2,0%,0.9,-,28:24,6.7,373,320,-45.5,-1590,-264
144,"
 Teemo",1,0,0%,0,1,0%,0.7,-,25:15,8.0,795,393,37,1127,-102
145,"
 Warwick",1,0,0%,0,1,0%,1.5,-,38:42,4.9,150,309,-21,-1046,-840
146,"
 Rammus",0,0,0%,,,,,-,,,,,,,
147,"
 Vi",0,0,0%,,,,,-,,,,,,,
148,"
 Lillia",0,0,0%,,,,,-,,,,,,,
149,"
 Yone",0,0,0%,,,,,-,,,,,,,
150,"
 Samira",0,0,0%,,,,,-,,,,,,,
151,"
 Seraphine",0,0,0%,,,,,-,,,,,,,
152,"
 Rell",0,0,0%,,,,,-,,,,,,,
153,"
 Viego",0,0,0%,,,,,-,,,,,,,
154,"
 Gwen",0,0,0%,,,,,-,,,,,,,
155,"
 Akshan",0,0,0%,,,,,-,,,,,,,
156,"
 Vex",0,0,0%,,,,,-,,,,,,,
157,"
 Zeri",0,0,0%,,,,,-,,,,,,,
158,"
 Renata Glasc",0,0,0%,,,,,-,,,,,,,
159,"
 Belveth",0,0,0%,,,,,-,,,,,,,
160,"
 Nilah",0,0,0%,,,,,-,,,,,,,
