,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Graves",78,40,89%,44,34,56%,3.5,4.4,31:14,7.0,410,394,6.8,196,251
1,"
 Leona",73,44,89%,40,33,55%,2.5,5.9,31:28,1.3,139,242,0.1,-20,-5
2,"
 Akali",16,86,77%,9,7,56%,4.5,4.1,32:10,7.9,561,408,7.5,379,484
3,"
 Samira",32,70,77%,20,12,63%,4.0,3.9,31:36,9.0,435,444,4.9,413,183
4,"
 Renekton",43,55,74%,18,25,42%,2.6,5.6,29:43,8.2,410,402,9.9,605,206
5,"
 Kaisa",68,23,69%,31,37,46%,3.4,7.1,30:41,9.2,471,439,1.4,78,101
6,"
 Ornn",45,45,68%,23,22,51%,3.3,5.6,31:55,7.1,404,340,-6.4,-126,15
7,"
 Alistar",64,21,64%,27,37,42%,2.5,8.0,31:51,1.1,146,233,0.9,29,1
8,"
 Olaf",39,38,58%,21,18,54%,3.3,4.6,31:20,5.9,387,358,-2.2,-103,-44
9,"
 Orianna",49,28,58%,26,23,53%,4.9,7.0,31:52,8.8,485,405,3.5,-54,169
10,"
 Zoe",36,40,58%,21,15,58%,5.2,4.6,31:41,7.8,618,384,8.2,260,338
11,"
 Lucian",13,61,56%,5,8,38%,1.9,3.6,31:01,8.6,481,407,3.4,142,-197
12,"
 Pantheon",15,58,55%,8,7,53%,2.9,4.4,30:04,4.4,413,331,-0.3,316,-48
13,"
 Camille",28,45,55%,20,8,71%,3.7,4.3,29:01,8.1,513,417,1.2,290,24
14,"
 Taliyah",25,47,55%,9,16,36%,3.3,4.3,31:01,6.8,450,377,4.8,308,281
15,"
 Galio",31,34,49%,13,18,42%,3.3,6.1,30:21,5.3,345,319,-9.6,-386,-123
16,"
 Syndra",45,19,48%,25,20,56%,3.7,6.6,32:45,8.7,508,402,1.6,33,-228
17,"
 Lillia",29,33,47%,15,14,52%,3.8,4.7,30:23,6.3,466,375,5.8,209,255
18,"
 Jhin",37,20,43%,19,18,51%,4.0,7.2,32:31,8.5,529,415,-3.6,-156,-124
19,"
 Nidalee",17,37,41%,12,5,71%,4.6,3.8,30:02,6.3,428,384,5.2,320,216
20,"
 Miss Fortune",30,22,39%,18,12,60%,5.1,6.4,32:11,9.5,565,439,7.8,254,163
21,"
 Sett",23,24,36%,9,14,39%,1.9,6.3,31:43,3.9,304,296,-2,144,-86
22,"
 Ezreal",33,13,35%,20,13,61%,3.9,8.4,30:19,8.5,713,431,-3,-259,45
23,"
 Thresh",17,29,35%,12,5,71%,4.3,7.6,31:11,1.2,139,243,1.5,210,130
24,"
 Aatrox",23,18,31%,16,7,70%,3.7,5.0,30:58,8.0,461,394,-4.3,-253,-142
25,"
 Hecarim",19,14,25%,8,11,42%,3.2,6.6,31:48,5.8,304,347,-10.7,-581,-659
26,"
 Gragas",18,13,23%,10,8,56%,3.4,4.3,32:11,5.4,369,325,1.4,18,224
27,"
 Kindred",17,14,23%,4,13,24%,1.7,6.7,32:40,6.1,279,338,-8.7,-358,-480
28,"
 Rakan",17,12,22%,8,9,47%,3.4,8.3,32:06,1.1,185,243,-0.1,-223,75
29,"
 Twisted Fate",9,18,20%,3,6,33%,1.9,4.9,29:03,7.0,332,371,-16.1,-677,-493
30,"
 Volibear",22,4,20%,7,15,32%,2.7,6.8,31:33,6.2,385,340,-6.2,-205,-190
31,"
 Viktor",11,11,17%,5,6,45%,4.7,7.3,31:26,8.7,660,395,5.7,-232,-22
32,"
 Kennen",15,6,16%,5,10,33%,2.3,8.0,31:37,7.5,569,372,-5,-443,-319
33,"
 Sylas",9,12,16%,5,4,56%,2.8,8.5,28:48,7.4,400,376,-21.4,-819,-607
34,"
 Malphite",10,10,15%,7,3,70%,2.4,8.0,29:55,6.9,376,350,-1.4,-211,109
35,"
 Ashe",12,7,14%,3,9,25%,2.5,6.4,31:53,8.0,532,393,0.4,46,43
36,"
 Gangplank",10,8,14%,7,3,70%,3.7,8.8,32:08,7.7,751,442,-9.8,-114,-176
37,"
 Shen",9,9,14%,6,3,67%,5.4,8.1,32:15,4.9,294,323,-7.9,-152,-261
38,"
 Aphelios",10,8,14%,7,3,70%,4.0,8.6,31:19,9.0,410,435,-3.6,75,-264
39,"
 Yone",10,8,14%,7,3,70%,2.6,6.8,31:24,8.2,527,409,3.4,391,382
40,"
 Maokai",11,6,13%,6,5,55%,2.2,8.5,32:56,2.2,401,246,-1.5,-68,-267
41,"
 Nautilus",8,7,11%,2,6,25%,2.1,7.7,27:33,1.3,184,243,4.5,-314,-4
42,"
 Bard",9,6,11%,7,2,78%,4.7,8.3,29:04,1.4,254,271,1.6,299,64
43,"
 Ekko",8,7,11%,4,4,50%,3.0,7.9,30:53,7.9,385,381,-11.6,-529,228
44,"
 Jax",8,6,11%,3,5,38%,1.7,8.7,29:56,8.0,349,379,-11.6,-542,-231
45,"
 Jayce",6,8,11%,3,3,50%,2.5,9.1,32:30,9.0,692,408,22,537,725
46,"
 Senna",10,3,10%,4,6,40%,4.1,3.3,30:25,6.4,411,362,-8.3,-381,-138
47,"
 Lee Sin",6,6,9%,3,3,50%,3.5,4.7,30:14,5.1,256,336,-13.7,-517,-621
48,"
 Irelia",6,5,8%,1,5,17%,1.0,8.4,28:01,8.7,272,382,7.5,-85,-537
49,"
 Cassiopeia",5,5,8%,1,4,20%,1.2,7.0,26:28,8.5,342,370,5.4,-190,-177
50,"
 Fiora",3,7,8%,0,3,0%,1.0,1.9,29:57,8.1,347,372,2.3,-211,-443
51,"
 Braum",8,2,8%,3,5,38%,2.1,9.0,32:08,1.0,137,214,-2.8,-239,-104
52,"
 Twitch",5,4,7%,3,2,60%,4.2,6.0,25:21,8.2,630,447,-3.4,462,60
53,"
 Sion",7,1,6%,4,3,57%,3.0,9.0,32:20,7.1,365,337,-6,-460,67
54,"
 Kalista",4,4,6%,0,4,0%,1.1,1.5,32:37,8.8,364,369,8,-578,-212
55,"
 Darius",4,3,5%,1,3,25%,1.5,4.3,31:34,7.6,292,343,-2.2,-114,-448
56,"
 Elise",3,4,5%,1,2,33%,1.5,8.0,30:22,4.6,325,300,-20.7,-1394,-722
57,"
 Morgana",3,4,5%,1,2,33%,2.0,7.8,30:06,1.1,239,237,-4.7,-38,-237
58,"
 Rumble",6,1,5%,3,3,50%,2.3,3.0,30:31,7.5,496,353,-12,-579,-594
59,"
 LeBlanc",3,3,5%,1,2,33%,13.0,8.3,35:56,8.5,631,405,22.7,893,985
60,"
 Vayne",5,1,5%,2,3,40%,4.5,10.0,33:04,8.4,572,445,3,-19,420
61,"
 Azir",4,2,5%,3,1,75%,1.5,8.0,32:18,8.4,497,382,1.8,278,191
62,"
 Tahm Kench",4,2,5%,1,3,25%,1.8,9.0,28:13,1.0,155,218,-2.2,-217,-308
63,"
 Fizz",2,3,4%,1,1,50%,5.8,1.0,29:04,6.8,423,403,-1.5,884,133
64,"
 Jarvan IV",4,1,4%,1,3,25%,3.0,9.0,32:12,4.8,229,287,-22.5,-930,-1283
65,"
 Mordekaiser",4,1,4%,3,1,75%,1.9,9.0,32:48,7.5,442,378,7.2,390,42
66,"
 Xayah",4,1,4%,2,2,50%,2.3,7.0,27:34,9.1,393,416,-3.8,-514,-378
67,"
 Draven",0,4,3%,,,,,3.3,,,,,,,
68,"
 Evelynn",2,2,3%,2,0,100%,10.3,4.0,21:58,7.0,800,494,28,1885,2483
69,"
 Lissandra",2,2,3%,1,1,50%,2.6,3.0,30:37,6.5,411,320,-34,-460,-1640
70,"
 Lulu",4,0,3%,2,2,50%,3.8,-,28:47,0.9,161,267,-3.2,354,331
71,"
 Nunu",1,3,3%,1,0,100%,2.6,1.7,21:51,4.6,698,383,-6,-240,479
72,"
 Poppy",1,3,3%,0,1,0%,0.0,5.3,20:51,7.5,340,324,18,285,-23
73,"
 Taric",3,1,3%,1,2,33%,2.0,10.0,24:51,1.3,108,238,-2.7,22,-17
74,"
 Tristana",2,2,3%,1,1,50%,4.5,7.0,29:22,9.0,656,521,-5,1732,100
75,"
 Xerath",0,4,3%,,,,,5.0,,,,,,,
76,"
 Yasuo",3,1,3%,1,2,33%,3.3,9.0,34:16,7.6,268,386,-1,-88,104
77,"
 RekSai",1,3,3%,0,1,0%,1.2,6.0,29:47,4.3,206,262,-12,-645,-586
78,"
 Qiyana",3,1,3%,0,3,0%,1.1,10.0,25:02,6.3,313,332,-24.3,-1476,-1160
79,"
 Caitlyn",2,1,2%,0,2,0%,2.7,7.0,35:33,8.8,580,414,6,-196,-361
80,"
 KhaZix",3,0,2%,1,2,33%,2.3,-,31:11,5.4,338,337,-8,-1101,-975
81,"
 Ryze",2,1,2%,2,0,100%,23.0,6.0,22:34,9.5,419,480,-1.5,1420,362
82,"
 Sejuani",3,0,2%,0,3,0%,2.6,-,32:46,5.2,370,337,-3.7,-227,-70
83,"
 Skarner",0,3,2%,,,,,5.0,,,,,,,
84,"
 Wukong",2,1,2%,1,1,50%,4.8,9.0,31:37,8.3,536,445,17,237,-194
85,"
 Aurelion Sol",1,2,2%,0,1,0%,1.5,1.5,21:51,4.7,570,323,6,240,-479
86,"
 Rell",3,0,2%,0,3,0%,1.8,-,32:39,1.2,135,228,-1.7,166,12
87,"
 Anivia",1,1,2%,0,1,0%,1.3,7.0,28:59,9.8,318,390,-42,-1147,-1184
88,"
 Kayle",1,1,2%,0,1,0%,1.5,9.0,25:50,8.7,239,363,0,-21,-196
89,"
 Vladimir",2,0,2%,0,2,0%,1.1,-,29:37,8.7,501,375,0,1,-31
90,"
 Ziggs",2,0,2%,0,2,0%,1.4,-,26:36,7.7,600,364,-12,-1246,-936
91,"
 Gnar",2,0,2%,2,0,100%,1.4,-,32:47,7.2,617,376,-2.5,-1357,-621
92,"
 Yuumi",1,1,2%,1,0,100%,-,9.0,23:57,0.1,418,314,-21,566,367
93,"
 Annie",1,0,1%,1,0,100%,8.8,-,31:52,0.7,607,382,-12,1503,-282
94,"
 Brand",1,0,1%,1,0,100%,2.2,-,21:51,0.8,490,320,-25,-234,-1022
95,"
 Chogath",1,0,1%,1,0,100%,-,-,27:10,7.0,344,357,-12,-255,-411
96,"
 Corki",1,0,1%,1,0,100%,-,-,23:57,9.3,1063,544,-8,352,-804
97,"
 Janna",1,0,1%,0,1,0%,0.3,-,21:44,0.5,212,213,-13,-896,-315
98,"
 Karma",1,0,1%,0,1,0%,1.8,-,27:24,0.8,238,218,-13,-730,-789
99,"
 Karthus",1,0,1%,0,1,0%,0.7,-,21:44,7.5,858,384,-14,-1474,-144
100,"
 KogMaw",1,0,1%,0,1,0%,0.4,-,32:52,9.2,476,382,-5,-92,-565
101,"
 Lux",1,0,1%,0,1,0%,0.5,-,29:16,1.8,328,264,1,-1174,-938
102,"
 Malzahar",1,0,1%,0,1,0%,1.4,-,31:29,6.1,465,302,-28,-791,-1044
103,"
 Urgot",1,0,1%,0,1,0%,1.7,-,29:47,7.2,242,400,-16,-2343,-805
104,"
 Varus",1,0,1%,1,0,100%,-,-,34:39,9.0,332,439,15,712,67
105,"
 Zed",1,0,1%,1,0,100%,-,-,29:47,6.0,412,340,25,66,493
106,"
 Kled",1,0,1%,1,0,100%,16.0,-,22:15,9.0,597,504,31,1984,1043
107,"
 Kayn",1,0,1%,0,1,0%,3.0,-,23:57,5.7,156,308,-,-,-
108,"
 Seraphine",1,0,1%,0,1,0%,1.0,-,37:34,1.3,236,224,-15,237,245
109,"
 Ahri",0,0,0%,,,,,-,,,,,,,
110,"
 Amumu",0,0,0%,,,,,-,,,,,,,
111,"
 Blitzcrank",0,0,0%,,,,,-,,,,,,,
112,"
 Diana",0,0,0%,,,,,-,,,,,,,
113,"
 Dr. Mundo",0,0,0%,,,,,-,,,,,,,
114,"
 Fiddlesticks",0,0,0%,,,,,-,,,,,,,
115,"
 Garen",0,0,0%,,,,,-,,,,,,,
116,"
 Heimerdinger",0,0,0%,,,,,-,,,,,,,
117,"
 Jinx",0,0,0%,,,,,-,,,,,,,
118,"
 Kassadin",0,0,0%,,,,,-,,,,,,,
119,"
 Katarina",0,0,0%,,,,,-,,,,,,,
120,"
 Master Yi",0,0,0%,,,,,-,,,,,,,
121,"
 Nami",0,0,0%,,,,,-,,,,,,,
122,"
 Nasus",0,0,0%,,,,,-,,,,,,,
123,"
 Nocturne",0,0,0%,,,,,-,,,,,,,
124,"
 Quinn",0,0,0%,,,,,-,,,,,,,
125,"
 Rammus",0,0,0%,,,,,-,,,,,,,
126,"
 Rengar",0,0,0%,,,,,-,,,,,,,
127,"
 Riven",0,0,0%,,,,,-,,,,,,,
128,"
 Shaco",0,0,0%,,,,,-,,,,,,,
129,"
 Shyvana",0,0,0%,,,,,-,,,,,,,
130,"
 Singed",0,0,0%,,,,,-,,,,,,,
131,"
 Sivir",0,0,0%,,,,,-,,,,,,,
132,"
 Sona",0,0,0%,,,,,-,,,,,,,
133,"
 Soraka",0,0,0%,,,,,-,,,,,,,
134,"
 Swain",0,0,0%,,,,,-,,,,,,,
135,"
 Talon",0,0,0%,,,,,-,,,,,,,
136,"
 Teemo",0,0,0%,,,,,-,,,,,,,
137,"
 Trundle",0,0,0%,,,,,-,,,,,,,
138,"
 Tryndamere",0,0,0%,,,,,-,,,,,,,
139,"
 Udyr",0,0,0%,,,,,-,,,,,,,
140,"
 Veigar",0,0,0%,,,,,-,,,,,,,
141,"
 Vi",0,0,0%,,,,,-,,,,,,,
142,"
 Warwick",0,0,0%,,,,,-,,,,,,,
143,"
 Xin Zhao",0,0,0%,,,,,-,,,,,,,
144,"
 Yorick",0,0,0%,,,,,-,,,,,,,
145,"
 Zac",0,0,0%,,,,,-,,,,,,,
146,"
 Zilean",0,0,0%,,,,,-,,,,,,,
147,"
 Zyra",0,0,0%,,,,,-,,,,,,,
148,"
 VelKoz",0,0,0%,,,,,-,,,,,,,
149,"
 Illaoi",0,0,0%,,,,,-,,,,,,,
150,"
 Ivern",0,0,0%,,,,,-,,,,,,,
151,"
 Pyke",0,0,0%,,,,,-,,,,,,,
152,"
 Neeko",0,0,0%,,,,,-,,,,,,,
153,"
 Viego",0,0,0%,,,,,-,,,,,,,
154,"
 Gwen",0,0,0%,,,,,-,,,,,,,
155,"
 Akshan",0,0,0%,,,,,-,,,,,,,
156,"
 Vex",0,0,0%,,,,,-,,,,,,,
157,"
 Zeri",0,0,0%,,,,,-,,,,,,,
158,"
 Renata Glasc",0,0,0%,,,,,-,,,,,,,
159,"
 Belveth",0,0,0%,,,,,-,,,,,,,
160,"
 Nilah",0,0,0%,,,,,-,,,,,,,
