,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
103,"
 Ahri",0,0,0%,,,,,-,,,,,,,
104,"
 Amumu",0,0,0%,,,,,-,,,,,,,
105,"
 Anivia",0,0,0%,,,,,-,,,,,,,
106,"
 Ashe",0,0,0%,,,,,-,,,,,,,
107,"
 Brand",0,0,0%,,,,,-,,,,,,,
108,"
 Cassiopeia",0,0,0%,,,,,-,,,,,,,
109,"
 Chogath",0,0,0%,,,,,-,,,,,,,
110,"
 Elise",0,0,0%,,,,,-,,,,,,,
111,"
 Evelynn",0,0,0%,,,,,-,,,,,,,
112,"
 Fiddlesticks",0,0,0%,,,,,-,,,,,,,
113,"
 Fizz",0,0,0%,,,,,-,,,,,,,
114,"
 Garen",0,0,0%,,,,,-,,,,,,,
115,"
 Heimerdinger",0,0,0%,,,,,-,,,,,,,
116,"
 Janna",0,0,0%,,,,,-,,,,,,,
117,"
 Karthus",0,0,0%,,,,,-,,,,,,,
118,"
 Kassadin",0,0,0%,,,,,-,,,,,,,
119,"
 Katarina",0,0,0%,,,,,-,,,,,,,
120,"
 Kayle",0,0,0%,,,,,-,,,,,,,
121,"
 KhaZix",0,0,0%,,,,,-,,,,,,,
122,"
 KogMaw",0,0,0%,,,,,-,,,,,,,
123,"
 Master Yi",0,0,0%,,,,,-,,,,,,,
124,"
 Nasus",0,0,0%,,,,,-,,,,,,,
125,"
 Nocturne",0,0,0%,,,,,-,,,,,,,
126,"
 Nunu",0,0,0%,,,,,-,,,,,,,
127,"
 Quinn",0,0,0%,,,,,-,,,,,,,
128,"
 Rammus",0,0,0%,,,,,-,,,,,,,
129,"
 Rengar",0,0,0%,,,,,-,,,,,,,
130,"
 Riven",0,0,0%,,,,,-,,,,,,,
131,"
 Sejuani",0,0,0%,,,,,-,,,,,,,
132,"
 Shaco",0,0,0%,,,,,-,,,,,,,
133,"
 Shen",0,0,0%,,,,,-,,,,,,,
134,"
 Shyvana",0,0,0%,,,,,-,,,,,,,
135,"
 Singed",0,0,0%,,,,,-,,,,,,,
136,"
 Sion",0,0,0%,,,,,-,,,,,,,
137,"
 Sivir",0,0,0%,,,,,-,,,,,,,
138,"
 Skarner",0,0,0%,,,,,-,,,,,,,
139,"
 Sona",0,0,0%,,,,,-,,,,,,,
140,"
 Soraka",0,0,0%,,,,,-,,,,,,,
141,"
 Swain",0,0,0%,,,,,-,,,,,,,
142,"
 Taric",0,0,0%,,,,,-,,,,,,,
143,"
 Teemo",0,0,0%,,,,,-,,,,,,,
144,"
 Tristana",0,0,0%,,,,,-,,,,,,,
145,"
 Veigar",0,0,0%,,,,,-,,,,,,,
146,"
 Vi",0,0,0%,,,,,-,,,,,,,
147,"
 Warwick",0,0,0%,,,,,-,,,,,,,
148,"
 Yorick",0,0,0%,,,,,-,,,,,,,
149,"
 Zed",0,0,0%,,,,,-,,,,,,,
150,"
 Zyra",0,0,0%,,,,,-,,,,,,,
151,"
 VelKoz",0,0,0%,,,,,-,,,,,,,
152,"
 Bard",0,0,0%,,,,,-,,,,,,,
153,"
 Illaoi",0,0,0%,,,,,-,,,,,,,
154,"
 Kled",0,0,0%,,,,,-,,,,,,,
155,"
 Ivern",0,0,0%,,,,,-,,,,,,,
156,"
 Neeko",0,0,0%,,,,,-,,,,,,,
157,"
 Zeri",0,0,0%,,,,,-,,,,,,,
158,"
 Renata Glasc",0,0,0%,,,,,-,,,,,,,
159,"
 Belveth",0,0,0%,,,,,-,,,,,,,
160,"
 Nilah",0,0,0%,,,,,-,,,,,,,
