,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Kaisa",1900,871,82%,1001,899,53%,4.1,4.9,31:51,9.2,468,442,1.9,-35,21
1,"
 Udyr",1135,1343,74%,569,566,50%,3.9,4.1,31:49,6.3,218,347,6.5,212,300
2,"
 Thresh",803,1556,70%,418,385,52%,3.2,4.1,32:07,1.1,114,233,2.4,58,45
3,"
 Gnar",1202,1061,67%,657,545,55%,3.1,6.3,32:09,7.8,464,382,5.6,188,169
4,"
 Rell",1217,1044,67%,623,594,51%,2.5,5.1,31:49,1.1,152,232,0.7,-83,-69
5,"
 Seraphine",465,1766,66%,251,214,54%,4.8,3.7,31:25,5.4,315,322,-9,-226,-138
6,"
 Renekton",871,1308,65%,471,400,54%,2.9,4.8,31:59,8.0,373,385,8.6,368,173
7,"
 Lillia",1013,976,59%,493,520,49%,3.4,4.4,32:19,6.4,388,345,3.1,35,102
8,"
 Olaf",773,1205,59%,389,384,50%,3.2,4.2,31:47,6.0,357,347,-1.1,-34,-58
9,"
 Orianna",1070,905,59%,559,511,52%,4.4,7.4,32:28,8.7,472,394,4.2,22,56
10,"
 Hecarim",980,917,56%,502,478,51%,3.8,4.5,31:58,5.9,297,341,-4.1,-48,-134
11,"
 Alistar",1207,653,55%,612,595,51%,3.0,7.2,31:47,1.1,147,232,-0.7,-67,-55
12,"
 Camille",486,1230,51%,254,232,52%,2.7,5.0,31:14,7.7,426,392,-0.9,28,-63
13,"
 Gragas",951,611,46%,488,463,51%,2.9,6.1,31:54,4.9,345,305,-7.6,-266,-117
14,"
 Azir",792,709,45%,407,385,51%,3.5,6.1,32:06,8.9,543,404,3.4,55,159
15,"
 Tristana",689,744,43%,372,317,54%,3.9,4.8,31:16,9.3,494,445,-1.4,247,107
16,"
 Syndra",703,623,39%,311,392,44%,3.0,7.5,32:50,8.5,492,379,3.1,-16,-52
17,"
 Senna",429,737,35%,217,212,51%,4.3,4.1,31:55,3.8,499,341,-6.5,380,261
18,"
 Twisted Fate",335,822,34%,177,158,53%,4.1,4.9,31:20,7.8,427,405,-8.3,266,-153
19,"
 Xayah",780,341,33%,385,395,49%,3.7,7.4,32:24,9.4,514,432,-0.6,26,3
20,"
 Lucian",373,706,32%,192,181,51%,3.2,5.6,31:46,9.0,513,426,6.7,331,23
21,"
 Galio",564,513,32%,290,274,51%,3.5,6.3,31:20,3.6,265,284,-4.8,-178,-50
22,"
 Zoe",420,652,32%,205,215,49%,4.7,4.9,31:58,8.0,539,378,-0.3,99,12
23,"
 Nidalee",500,524,30%,258,242,52%,4.1,4.3,32:03,6.5,401,362,2.8,148,156
24,"
 Leona",680,291,29%,339,341,50%,2.5,8.1,31:45,1.2,123,233,1.3,-24,-65
25,"
 Graves",606,351,28%,281,325,46%,3.5,5.0,32:17,7.0,369,374,4.4,81,152
26,"
 Aatrox",511,432,28%,248,263,49%,2.9,7.9,31:52,7.7,458,377,2.6,73,135
27,"
 Viktor",626,306,28%,288,338,46%,3.5,7.8,32:40,8.7,616,392,-0.7,-192,2
28,"
 Taliyah",285,610,27%,170,115,60%,3.6,4.1,31:46,6.7,428,370,5.6,241,382
29,"
 Aphelios",521,353,26%,267,254,51%,3.4,5.3,32:13,9.3,507,432,6,350,59
30,"
 Pantheon",180,683,26%,90,90,50%,2.8,4.0,31:28,5.5,348,339,-7.3,-34,-310
31,"
 Sion",536,264,24%,239,297,45%,2.8,7.6,32:08,6.9,358,334,-11.9,-500,-129
32,"
 Jayce",349,397,22%,180,169,52%,2.7,7.4,31:10,8.4,629,403,11,335,25
33,"
 Nautilus",511,202,21%,239,272,47%,2.5,8.3,31:42,1.3,153,233,0.6,-79,-53
34,"
 Samira",364,329,21%,167,197,46%,3.3,5.5,31:27,8.8,391,422,0.5,38,11
35,"
 Gangplank",320,335,19%,145,175,45%,2.9,7.3,32:54,8.1,587,418,2.6,321,-64
36,"
 Yone",225,404,19%,105,120,47%,2.8,6.9,30:25,8.5,441,406,-2.4,-64,7
37,"
 Irelia",184,428,18%,97,87,53%,2.3,6.5,31:44,8.6,392,409,16.1,457,89
38,"
 Sett",338,267,18%,163,175,48%,2.4,6.8,31:30,4.2,298,301,0.2,47,-57
39,"
 Ornn",353,222,17%,161,192,46%,3.1,7.9,32:03,6.6,357,326,-13,-602,-231
40,"
 Sylas",258,293,16%,144,114,56%,3.4,7.1,30:52,7.8,473,389,-6.3,-121,-53
41,"
 Rakan",338,208,16%,175,163,52%,3.7,8.0,32:36,1.1,150,235,-2.1,-54,-59
42,"
 Akali",160,384,16%,74,86,46%,3.1,4.7,31:28,7.8,447,380,-2.7,-80,-39
43,"
 Jinx",360,177,16%,177,183,49%,3.8,5.1,31:20,9.6,570,441,6,206,-13
44,"
 Nocturne",169,333,15%,94,75,56%,3.2,5.0,31:15,6.9,352,368,-4.2,-88,-158
45,"
 Volibear",355,139,15%,153,202,43%,2.8,7.0,31:31,6.0,310,330,-8,-300,-390
46,"
 Ryze",290,201,15%,144,146,50%,3.1,6.5,31:10,9.3,477,422,8.4,240,186
47,"
 Jhin",368,98,14%,161,207,44%,4.5,7.6,32:18,8.6,439,403,-2.2,-202,-28
48,"
 Tahm Kench",257,167,13%,134,123,52%,3.4,5.9,31:48,4.1,159,281,-13.5,-447,-299
49,"
 Kalista",175,238,12%,87,88,50%,3.5,5.4,31:21,9.1,412,428,11.4,350,195
50,"
 Skarner",199,201,12%,103,96,52%,3.4,4.5,32:24,5.2,167,311,-12,-539,-629
51,"
 Ezreal",244,92,10%,121,123,50%,3.7,8.2,31:59,8.8,680,415,3.9,106,126
52,"
 Karma",206,130,10%,84,122,41%,3.4,6.5,31:15,4.6,280,291,-9.6,-401,-173
53,"
 Malphite",131,185,9%,56,75,43%,3.0,8.3,31:38,6.3,380,325,-19.3,-573,-270
54,"
 Miss Fortune",202,112,9%,100,102,50%,3.9,7.5,32:47,9.0,482,423,1.8,22,25
55,"
 Varus",144,130,8%,77,67,53%,3.7,5.7,31:16,8.5,591,409,4.1,196,140
56,"
 Vayne",164,92,8%,78,86,48%,3.0,7.5,31:17,8.5,460,417,-3.3,-183,-71
57,"
 Wukong",136,90,7%,64,72,47%,2.5,8.4,31:29,7.1,390,367,-10.4,-373,-216
58,"
 Braum",169,51,7%,74,95,44%,3.1,8.4,31:09,1.1,168,229,1.5,-66,-6
59,"
 Caitlyn",103,110,6%,44,59,43%,3.2,4.6,32:13,8.8,540,425,8.5,347,-122
60,"
 Jarvan IV",133,71,6%,58,75,44%,2.9,6.6,32:05,4.6,254,309,-14.4,-452,-631
61,"
 Karthus",84,119,6%,41,43,49%,3.1,4.1,31:18,7.3,681,386,12.3,155,400
62,"
 Shen",98,101,6%,43,55,44%,3.4,6.9,32:01,5.7,268,318,-12.2,-615,-44
63,"
 Ekko",103,86,6%,54,49,52%,3.3,6.0,32:10,8.2,415,398,-8.4,-196,-42
64,"
 Urgot",98,78,5%,42,56,43%,2.6,6.7,31:11,7.7,420,396,-8.3,-169,-208
65,"
 Morgana",86,79,5%,36,50,42%,3.2,6.1,31:06,3.1,290,281,-5.8,-44,108
66,"
 Rumble",111,52,5%,58,53,52%,3.9,5.5,31:17,6.7,531,362,-3.7,-46,-92
67,"
 LeBlanc",63,93,5%,31,32,49%,4.0,5.4,30:52,7.6,508,377,1.9,89,297
68,"
 Ashe",107,39,4%,52,55,49%,3.8,8.4,31:58,8.1,483,387,-2,-181,-6
69,"
 Corki",99,46,4%,50,49,51%,3.8,7.6,32:23,9.3,658,427,-3.9,-177,-233
70,"
 Lulu",89,50,4%,30,59,34%,3.2,7.1,32:02,2.8,189,256,-6.7,-338,-186
71,"
 Chogath",100,34,4%,48,52,48%,2.3,8.6,32:25,7.0,381,355,-5.2,-267,-166
72,"
 Lee Sin",75,55,4%,51,24,68%,4.7,4.8,30:00,6.6,321,374,-8,-69,-371
73,"
 Kindred",76,52,4%,34,42,45%,2.6,6.3,31:21,6.6,391,368,-2.8,-140,-195
74,"
 Kennen",67,58,4%,30,37,45%,2.4,8.3,31:27,7.4,457,361,0.3,-80,-66
75,"
 Fiora",47,68,3%,20,27,43%,1.8,5.5,31:48,8.6,460,410,12.9,543,150
76,"
 Kayn",78,31,3%,36,42,46%,2.5,6.4,30:33,6.8,372,368,-0.4,80,42
77,"
 Maokai",72,35,3%,46,26,64%,3.2,7.5,33:19,2.0,450,252,-3.5,-154,-85
78,"
 Blitzcrank",64,38,3%,32,32,50%,2.5,8.1,32:28,1.0,172,233,0.7,-156,-226
79,"
 Dr. Mundo",79,23,3%,38,41,48%,3.2,7.6,31:49,6.1,372,342,-1,-111,-120
80,"
 Jax",49,50,3%,22,27,45%,1.8,8.1,30:37,7.7,378,388,1.4,10,-25
81,"
 Cassiopeia",60,37,3%,21,39,35%,2.7,8.6,32:01,8.5,459,390,1.6,-168,-20
82,"
 Darius",27,63,3%,16,11,59%,3.3,6.7,32:19,7.9,466,406,17.5,758,473
