,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
83,"
 Ivern",33,57,3%,15,18,45%,3.4,3.3,31:56,4.9,179,291,-19,-744,-728
84,"
 Kassadin",37,52,3%,20,17,54%,4.0,7.4,30:09,8.6,524,419,0.9,-56,52
85,"
 Sivir",67,22,3%,22,45,33%,3.4,8.9,33:27,9.5,546,422,-1.1,-192,-19
86,"
 KhaZix",40,46,3%,25,15,63%,3.8,6.1,31:47,6.1,433,369,-2.3,47,-57
87,"
 Ahri",49,33,2%,23,26,47%,4.1,6.4,32:26,8.2,463,381,-1.8,-98,94
88,"
 Anivia",30,52,2%,9,21,30%,1.9,5.6,30:38,8.0,379,366,-2.7,-259,-133
89,"
 Draven",40,41,2%,23,17,58%,3.7,5.8,30:40,8.7,504,457,4.4,306,-142
90,"
 Zilean",31,46,2%,17,14,55%,6.5,6.3,31:12,6.4,374,337,-3,-69,376
91,"
 Bard",56,18,2%,29,27,52%,3.3,7.7,33:29,1.1,211,237,-5.1,-100,84
92,"
 Yasuo",32,41,2%,15,17,47%,2.3,6.7,30:58,8.1,391,400,-4.9,-193,-299
93,"
 Elise",24,34,2%,12,12,50%,2.7,4.8,32:58,5.1,362,329,-13.5,20,-583
94,"
 Mordekaiser",36,19,2%,21,15,58%,2.2,8.8,30:23,7.5,443,376,4.2,96,227
95,"
 Quinn",24,31,2%,12,12,50%,2.7,7.4,32:15,8.3,621,422,8.8,612,-6
96,"
 Riven",17,37,2%,11,6,65%,3.2,5.7,30:28,8.1,409,426,2.1,150,2
97,"
 Ziggs",34,17,2%,15,19,44%,3.5,7.0,32:54,8.3,630,387,-3.8,-12,113
98,"
 Evelynn",15,34,1%,7,8,47%,3.2,3.1,31:51,5.7,492,365,0.9,503,532
99,"
 RekSai",33,16,1%,19,14,58%,2.7,5.4,31:43,5.5,325,350,-10.9,-106,-327
100,"
 Vladimir",28,20,1%,11,17,39%,2.6,6.8,32:26,7.9,511,375,-4.8,-323,-209
101,"
 Qiyana",28,18,1%,8,20,29%,1.8,6.2,31:38,6.9,433,355,-13.5,-213,-459
102,"
 Sejuani",30,15,1%,10,20,33%,2.7,6.1,30:12,5.4,269,308,-17.4,-571,-595
103,"
 Heimerdinger",20,24,1%,11,9,55%,2.6,3.8,33:50,7.3,568,374,0.6,-17,104
104,"
 VelKoz",22,15,1%,10,12,45%,4.4,7.8,34:22,8.3,603,380,-0.3,115,70
105,"
 Veigar",26,9,1%,8,18,31%,2.8,6.6,31:10,7.5,364,370,-6.8,-11,-119
106,"
 Xin Zhao",18,16,1%,7,11,39%,2.6,6.2,31:44,5.8,434,345,3.8,-47,42
107,"
 Pyke",21,13,1%,14,7,67%,3.1,7.3,31:21,1.5,207,307,-2.5,303,-163
108,"
 Janna",23,8,1%,9,14,39%,2.6,7.3,31:51,0.7,144,235,-12.6,-27,28
109,"
 Poppy",23,8,1%,13,10,57%,2.6,7.5,30:31,4.5,308,290,-13.8,-455,-281
110,"
 Trundle",29,2,1%,7,22,24%,2.1,9.0,30:25,5.1,223,302,-18.3,-687,-957
111,"
 Kled",20,10,1%,9,11,45%,2.5,7.1,32:46,7.4,358,360,-3.8,-345,-220
112,"
 Neeko",28,1,1%,13,15,46%,2.4,9.0,32:57,5.8,415,325,-5.7,-171,-135
113,"
 Taric",15,12,1%,6,9,40%,3.1,3.7,29:22,1.4,69,230,-2.4,-621,6
114,"
 Zed",15,11,1%,7,8,47%,2.9,8.5,30:58,7.5,576,403,-5.6,19,57
115,"
 Annie",12,13,1%,6,6,50%,4.1,6.6,31:29,7.3,421,359,0.3,-207,-205
116,"
 Malzahar",12,12,1%,8,4,67%,2.9,6.3,32:19,7.8,542,389,-6.3,-320,214
117,"
 Swain",13,9,1%,8,5,62%,5.1,8.0,34:10,7.1,687,380,-13.4,-443,40
118,"
 Nunu",5,16,1%,0,5,0%,1.5,3.9,31:27,4.5,222,258,-15.8,-822,-506
119,"
 Aurelion Sol",6,15,1%,6,0,100%,5.4,3.0,36:58,7.7,522,390,1.8,-113,159
120,"
 Diana",8,10,1%,4,4,50%,2.8,7.0,30:29,7.1,588,383,-2.9,166,136
121,"
 Lux",11,7,1%,5,6,45%,3.2,8.1,30:40,2.4,319,267,-15.7,-281,-236
122,"
 Katarina",4,13,1%,1,3,25%,2.9,3.3,30:15,6.9,575,385,-20,-481,-87
123,"
 KogMaw",12,5,1%,2,10,17%,1.3,2.4,29:35,9.1,622,391,5.6,-203,-355
124,"
 Garen",12,4,0%,8,4,67%,4.1,4.5,30:41,6.0,455,389,-5.8,-246,-258
125,"
 Fizz",7,6,0%,4,3,57%,3.7,8.2,31:25,7.2,511,383,-11.3,123,85
126,"
 Shyvana",11,2,0%,5,6,45%,2.9,8.0,31:03,6.4,523,357,0.5,-120,-157
127,"
 Yorick",4,9,0%,0,4,0%,0.9,5.3,30:02,8.1,440,380,-1,-298,87
128,"
 Yuumi",4,9,0%,0,4,0%,1.9,8.4,31:46,0.4,228,212,-12.5,-1275,-234
129,"
 Nasus",9,3,0%,4,5,44%,2.1,7.0,30:16,7.2,438,370,-6.4,-384,101
130,"
 Soraka",9,3,0%,5,4,56%,3.5,5.7,33:13,4.2,218,277,-21.3,-718,-33
131,"
 Rengar",4,7,0%,1,3,25%,1.4,4.4,30:52,5.8,298,342,-4.5,3,-308
132,"
 Viego",4,7,0%,3,1,75%,3.6,3.7,28:03,6.6,493,440,6,1178,853
133,"
 Fiddlesticks",2,8,0%,0,2,0%,2.0,6.4,31:09,6.1,364,297,9,-312,606
134,"
 Kayle",6,1,0%,3,3,50%,3.1,9.0,33:06,8.6,441,399,-0.8,-135,-312
135,"
 Lissandra",5,1,0%,1,4,20%,2.3,5.0,28:16,7.5,514,366,-4.8,-281,-550
136,"
 Illaoi",2,4,0%,0,2,0%,0.4,7.3,26:01,8.1,313,362,16,138,470
137,"
 Twitch",4,1,0%,1,3,25%,1.6,2.0,31:19,6.9,623,359,-7,-340,-242
138,"
 Zyra",3,2,0%,1,2,33%,1.2,4.0,35:44,0.8,409,249,-18,-348,-629
139,"
 Amumu",1,3,0%,0,1,0%,2.0,5.7,29:58,1.2,296,232,3,886,505
140,"
 Nami",2,2,0%,0,2,0%,1.0,9.0,25:30,0.7,132,224,-8,-72,537
141,"
 Tryndamere",3,1,0%,3,0,100%,4.0,7.0,34:23,9.2,461,475,9.3,1055,-2
142,"
 Xerath",3,1,0%,2,1,67%,8.3,9.0,31:01,8.8,556,381,-14.3,-586,-237
143,"
 Zac",2,1,0%,0,2,0%,1.0,10.0,29:45,5.3,211,293,-8,-537,-416
144,"
 Shaco",2,0,0%,1,1,50%,2.3,-,29:51,5.4,280,324,-20,-369,-820
145,"
 Talon",1,1,0%,0,1,0%,1.0,4.0,26:12,7.0,275,324,-65,-1624,-1313
146,"
 Teemo",1,1,0%,1,0,100%,5.0,9.0,26:10,6.8,568,372,-7,-635,470
147,"
 Rammus",1,0,0%,0,1,0%,0.4,-,18:13,4.0,140,259,-47,-2342,-2862
148,"
 Singed",1,0,0%,1,0,100%,17.0,-,23:01,5.6,545,438,-27,-217,1941
149,"
 Warwick",0,1,0%,,,,,6.0,,,,,,,
150,"
 Brand",0,0,0%,,,,,-,,,,,,,
151,"
 Master Yi",0,0,0%,,,,,-,,,,,,,
152,"
 Sona",0,0,0%,,,,,-,,,,,,,
153,"
 Vi",0,0,0%,,,,,-,,,,,,,
154,"
 Gwen",0,0,0%,,,,,-,,,,,,,
155,"
 Akshan",0,0,0%,,,,,-,,,,,,,
156,"
 Vex",0,0,0%,,,,,-,,,,,,,
157,"
 Zeri",0,0,0%,,,,,-,,,,,,,
158,"
 Renata Glasc",0,0,0%,,,,,-,,,,,,,
159,"
 Belveth",0,0,0%,,,,,-,,,,,,,
160,"
 Nilah",0,0,0%,,,,,-,,,,,,,
